sex,department,accepted
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
male,A,Y
